airline,origin,destination,departure_hour,month,day_of_week,distance,weather,delay_minutes,delayed
AI,DEL,BOM,12,12,Saturday,1072,Cloudy,5,0
SG,HYD,BLR,8,7,Sunday,1191,Clear,17,1
SG,HYD,CCU,3,3,Sunday,988,Clear,3,0
UK,MAA,DEL,8,10,Friday,1872,Clear,0,0
UK,HYD,DEL,21,5,Sunday,967,Clear,0,0
QP,BOM,MAA,9,7,Saturday,1155,Clear,10,0
AI,BLR,HYD,0,3,Sunday,1069,Clear,10,0
SG,BLR,MAA,8,5,Thursday,1330,Clear,2,0
6E,CCU,HYD,11,6,Sunday,1020,Clear,0,0
AI,HYD,BLR,14,9,Monday,1444,Rain,26,1
UK,HYD,CCU,15,11,Sunday,680,Clear,0,0
QP,MAA,BOM,10,3,Sunday,1145,Cloudy,22,1
SG,BLR,CCU,3,7,Saturday,1673,Rain,32,1
SG,CCU,BOM,10,12,Sunday,1299,Clear,14,0
SG,MAA,BOM,0,1,Wednesday,676,Clear,0,0
SG,CCU,HYD,12,7,Wednesday,1275,Clear,13,0
UK,MAA,HYD,10,10,Monday,637,Clear,0,0
AI,HYD,BLR,8,2,Tuesday,1727,Clear,1,0
QP,DEL,BOM,15,9,Sunday,1621,Cloudy,13,0
UK,HYD,BLR,18,6,Monday,1735,Cloudy,18,1
UK,DEL,MAA,6,8,Tuesday,1622,Clear,1,0
6E,HYD,DEL,12,9,Thursday,1529,Fog,35,1
AI,MAA,BOM,12,2,Wednesday,1330,Fog,19,1
QP,HYD,BOM,12,1,Sunday,859,Clear,0,0
SG,BOM,BLR,9,4,Monday,1120,Cloudy,20,1
SG,DEL,MAA,5,4,Monday,1570,Clear,6,0
UK,MAA,BOM,4,4,Tuesday,1474,Rain,18,1
QP,MAA,BOM,0,12,Friday,1508,Cloudy,5,0
UK,BLR,CCU,1,9,Wednesday,721,Clear,0,0
UK,MAA,BLR,19,5,Saturday,736,Clear,2,0
UK,MAA,CCU,1,8,Monday,926,Cloudy,14,0
6E,HYD,CCU,20,2,Wednesday,1487,Clear,0,0
AI,DEL,MAA,21,3,Friday,1114,Cloudy,14,0
UK,CCU,BLR,5,2,Friday,1206,Rain,18,1
QP,BLR,BOM,10,6,Thursday,1373,Clear,16,1
AI,MAA,CCU,8,8,Thursday,1642,Clear,16,1
QP,CCU,BLR,9,7,Monday,1735,Cloudy,20,1
QP,BLR,DEL,8,7,Monday,801,Cloudy,12,0
6E,HYD,MAA,8,2,Monday,1103,Clear,0,0
SG,DEL,BLR,16,8,Thursday,1062,Clear,30,1
AI,CCU,BOM,9,7,Sunday,1650,Cloudy,20,1
SG,DEL,CCU,4,12,Monday,1621,Clear,0,0
SG,HYD,DEL,9,3,Monday,1683,Clear,4,0
6E,BLR,CCU,23,1,Friday,698,Clear,0,0
AI,DEL,CCU,23,6,Thursday,1343,Rain,30,1
QP,BLR,MAA,1,3,Wednesday,1180,Rain,22,1
UK,CCU,BOM,13,3,Monday,844,Rain,13,0
QP,BOM,MAA,23,3,Saturday,1055,Rain,20,1
SG,BOM,CCU,4,9,Friday,1642,Clear,9,0
SG,BOM,MAA,1,6,Friday,942,Cloudy,21,1
SG,DEL,BLR,5,11,Tuesday,1148,Cloudy,2,0
AI,BOM,MAA,7,2,Sunday,639,Rain,22,1
6E,HYD,BLR,22,12,Monday,1285,Rain,6,0
UK,MAA,BOM,6,5,Saturday,529,Clear,0,0
UK,MAA,BOM,7,7,Saturday,1538,Clear,0,0
AI,MAA,BLR,6,10,Saturday,1348,Rain,17,1
UK,MAA,BOM,9,6,Friday,1779,Clear,0,0
AI,BLR,HYD,23,2,Wednesday,1260,Clear,0,0
SG,CCU,BOM,2,3,Thursday,1468,Storm,58,1
SG,BOM,HYD,11,11,Thursday,1733,Fog,30,1
QP,MAA,BLR,14,1,Sunday,812,Clear,0,0
SG,DEL,CCU,2,11,Saturday,921,Clear,3,0
6E,MAA,CCU,1,9,Thursday,1228,Clear,5,0
QP,DEL,BLR,23,7,Saturday,562,Clear,9,0
UK,BOM,MAA,6,4,Sunday,583,Clear,0,0
6E,BLR,BOM,5,11,Friday,1179,Clear,1,0
QP,MAA,CCU,8,1,Wednesday,705,Rain,11,0
6E,DEL,BOM,1,9,Monday,609,Clear,3,0
AI,BOM,CCU,3,3,Sunday,1372,Clear,0,0
UK,BLR,CCU,0,5,Monday,954,Cloudy,0,0
SG,MAA,BOM,12,1,Thursday,280,Clear,0,0
AI,CCU,DEL,11,7,Monday,1414,Rain,29,1
UK,HYD,MAA,6,2,Sunday,734,Clear,0,0
AI,HYD,CCU,22,2,Monday,1131,Clear,0,0
SG,BLR,MAA,7,4,Friday,1669,Clear,1,0
UK,MAA,DEL,0,6,Saturday,929,Clear,0,0
6E,DEL,HYD,2,12,Saturday,1354,Clear,0,0
6E,DEL,BLR,17,10,Thursday,1707,Fog,40,1
UK,BOM,CCU,12,5,Friday,1424,Rain,25,1
SG,BOM,MAA,6,8,Thursday,954,Fog,41,1
QP,BLR,MAA,5,10,Saturday,1129,Cloudy,5,0
UK,CCU,BLR,5,5,Monday,706,Clear,0,0
AI,HYD,BOM,10,10,Sunday,612,Storm,51,1
QP,BLR,MAA,16,8,Saturday,887,Cloudy,21,1
SG,BOM,DEL,15,9,Sunday,1779,Clear,22,1
SG,HYD,DEL,17,12,Monday,1829,Cloudy,25,1
AI,BOM,DEL,0,5,Tuesday,1593,Cloudy,18,1
6E,CCU,HYD,13,1,Tuesday,822,Cloudy,18,1
SG,BLR,DEL,18,7,Wednesday,1264,Rain,37,1
QP,HYD,DEL,4,4,Saturday,912,Fog,25,1
UK,CCU,BOM,13,1,Saturday,953,,12,0
QP,BOM,CCU,0,2,Friday,648,Rain,27,1
QP,BLR,MAA,21,7,Wednesday,1723,Cloudy,17,1
6E,HYD,DEL,17,12,Monday,1249,Clear,5,0
QP,BOM,MAA,14,5,Friday,1426,Cloudy,3,0
